YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 07 11 275  8.8 10.5  2.07  9.09  6.12 999 1006.2   0.1   5.1  -4.3 99.0 99.00
2001 01 07 12 271  7.9 10.5  1.84  8.33  5.90 999 1007.1  -0.3   5.1  -4.6 99.0 99.00
2001 01 07 13 276  8.2  9.8  1.81  8.33  5.99 999 1007.7  -0.8   5.1  -4.9 99.0 99.00
2001 01 07 14 280  7.2  9.2  1.83  9.09  6.26 999 1008.1  -0.8   5.1  -5.4 99.0 99.00
2001 01 07 15 264  8.1 10.0  1.77  9.09  6.32 999 1009.2  -0.8   5.1  -5.2 99.0 99.00
2001 01 07 16 262  8.4 11.0  1.65  9.09  5.73 999 1009.4  -0.7   5.1  -5.2 99.0 99.00
2001 01 07 17 270  7.3  9.3  1.60  8.33  5.78 999 1009.4  -0.3   5.1  -5.9 99.0 99.00
2001 01 07 18 266  6.0  7.8  1.69  8.33  6.30 999 1009.6   0.4   5.1  -5.7 99.0 99.00
2001 01 07 19 255  5.3  6.9  1.55  9.09  6.30 999 1009.6   0.8   5.1  -6.2 99.0 99.00
2001 01 07 20 265  4.2  6.0  1.31  8.33  6.42 999 1010.1   1.2   5.1  -6.8 99.0 99.00
2001 01 07 21 257  3.9  5.2  1.17  7.69  6.54 999 1010.4   1.3   5.0  -7.3 99.0 99.00
2001 01 07 22 249  1.6  3.4  1.09  9.09  6.70 999 1010.9   1.3   4.8  -6.6 99.0 99.00
2001 01 07 23 240  1.3  2.1  0.99  7.69  6.73 999 1011.0   1.6   4.8  -7.2 99.0 99.00
2001 01 08 00 195  2.1  3.1  0.93  8.33  6.67 999 1011.7   2.0   4.8  -6.8 99.0 99.00
2001 01 08 01 196  2.8  3.6  0.91  9.09  6.84 999 1011.8   2.3   4.8  -5.1 99.0 99.00
2001 01 08 02 193  2.7  3.2  0.74 10.00  6.65 999 1011.8   2.4   4.8  -4.2 99.0 99.00
2001 01 08 03 197  2.9  3.5  0.63 10.00  6.63 999 1011.9   2.5   4.8  -4.2 99.0 99.00
2001 01 08 04 224  2.2  3.1  0.59 10.00  6.70 999 1012.5   2.5   4.8  -5.3 99.0 99.00
2001 01 08 05 208  2.4  2.9  0.54 11.11  6.83 999 1012.5   2.5   4.8  -2.9 99.0 99.00
2001 01 08 06 268  1.1  1.7  0.53 10.00  6.90 999 1012.5   2.4   4.8  -4.3 99.0 99.00
2001 01 08 07 294  0.6  1.1  0.60 10.00  7.42 999 1012.8   2.1   4.8  -3.9 99.0 99.00
2001 01 08 08 256  2.6  3.1  0.49 10.00  6.87 999 1013.2   2.0   4.8  -2.6 99.0 99.00
2001 01 08 09 284  1.1  1.7  0.53 10.00  7.22 999 1013.2   2.1   4.8  -2.0 99.0 99.00
2001 01 08 10  67  2.2  3.0  0.50  9.09  6.19 999 1012.5   2.4   4.8  -3.3 99.0 99.00
2001 01 08 11  78  3.0  3.7  0.43  9.09  6.40 999 1012.5   2.8   4.8  -3.3 99.0 99.00
2001 01 08 12  83  3.6  4.5  0.43 11.11  6.34 999 1011.9   3.0   4.8  -3.3 99.0 99.00
2001 01 08 13  81  3.5  4.2  0.41 11.11  6.02 999 1012.4   3.1   4.8  -3.2 99.0 99.00
2001 01 08 14  90  3.4  4.6  0.37 10.00  5.82 999 1012.5   3.6   5.1  -2.8 99.0 99.00
2001 01 08 15 124  4.0  4.8  0.36 11.11  5.57 999 1012.7   3.9   5.1  -2.2 99.0 99.00
2001 01 08 16 211  2.5  3.2  0.36 10.00  5.42 999 1012.4   3.6   5.1  -0.7 99.0 99.00
2001 01 08 17 183  1.5  2.1  0.36 10.00  5.87 999 1011.7   3.2   5.1  -0.8 99.0 99.00
2001 01 08 18 275  1.4  2.0  0.37 10.00  5.46 999 1011.0   3.2   5.2  -0.5 99.0 99.00
2001 01 08 19 348  2.1  2.7  0.41 11.11  6.05 999 1010.1   3.1   5.2  -0.4 99.0 99.00
2001 01 08 20 360  2.6  3.8  0.39 11.11  5.23 999 1009.7   3.5   5.1   0.0 99.0 99.00
2001 01 08 21   2  3.2  3.7  0.44 10.00  5.56 999 1009.6   3.2   5.1   0.5 99.0 99.00
2001 01 08 22   7  4.0  4.8  0.46 10.00  5.57 999 1008.8   3.3   5.1   0.5 99.0 99.00
2001 01 08 23  16  3.9  4.6  0.42  9.09  4.87 999 1008.6   3.6   5.1   0.2 99.0 99.00
2001 01 09 00   8  4.5  5.6  0.41 10.00  4.80 999 1008.0   3.9   5.1   0.1 99.0 99.00
2001 01 09 01   2  5.2  6.1  0.39 11.11  4.24 999 1007.8   3.6   5.1  -0.2 99.0 99.00
2001 01 09 02  13  5.5  6.7  0.42 11.11  3.93 999 1007.0   3.2   5.1   0.3 99.0 99.00
2001 01 09 03  13  5.7  6.9  0.46  2.63  3.50 999 1006.5   2.8   5.1   0.2 99.0 99.00
2001 01 09 04  36  4.5  5.7  0.53  2.94  3.45 999 1006.5   2.7   5.1   0.2 99.0 99.00
2001 01 09 05  35  3.6  4.7  0.53 10.00  3.48 999 1006.3   2.4   5.1   0.1 99.0 99.00
2001 01 09 06 336  4.7  6.5  0.56  3.70  3.56 999 1005.9   2.1   5.1   0.0 99.0 99.00
2001 01 09 07 342  5.5  6.5  0.62  3.33  3.54 999 1006.0   1.3   5.1   0.0 99.0 99.00
2001 01 09 08 345  5.9  7.0  0.67  4.17  3.75 999 1005.6   1.3   5.1   0.0 99.0 99.00
2001 01 09 09 338  6.5  7.7  0.72 10.00  3.73 999 1005.2   1.3   5.1   0.1 99.0 99.00
2001 01 09 10 343  7.6  8.6  0.79  4.55  3.57 999 1004.7   1.2   5.1   0.0 99.0 99.00
2001 01 09 11 342  6.5  7.5  0.81  4.35  3.65 999 1004.6   1.1   5.1  -0.2 99.0 99.00
2001 01 09 12 333  6.4  7.9  0.84  3.33  3.65 999 1004.7   0.9   5.1  -0.5 99.0 99.00
2001 01 09 13 326  7.3  8.6  0.92  4.76  3.85 999 1004.9   0.5   5.1  -1.0 99.0 99.00
2001 01 09 14 312  7.9  9.0  0.96  5.00  3.76 999 1004.9  -0.2   5.1  -1.4 99.0 99.00
2001 01 09 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 09 16 311  9.8 11.7  1.08  3.23  3.73 999 1005.4  -0.7   4.8  -2.0 99.0 99.00
2001 01 09 17 318  9.2 11.0  1.20  3.57  4.00 999 1004.8  -1.4   4.8  -2.8 99.0 99.00
2001 01 09 18 311  9.9 11.7  1.23  5.56  4.18 999 1004.2  -1.8   4.8  -3.3 99.0 99.00
2001 01 09 19 302  8.7 10.6  1.26  5.88  4.08 999 1003.8  -2.2   4.8  -4.8 99.0 99.00
2001 01 09 20 298  8.0  9.7  1.08  5.88  4.27 999 1003.3  -1.5   4.8  -6.1 99.0 99.00
2001 01 09 21 291  6.3  8.0  1.00  5.88  4.42 999 1003.0  -1.2   4.8  -5.6 99.0 99.00
2001 01 09 22 298  7.4  9.4  0.97  6.25  4.02 999 1002.9  -1.1   4.9  -7.0 99.0 99.00
2001 01 09 23 293  8.3 10.3  1.05  5.56  4.27 999 1002.6  -1.2   4.8  -7.0 99.0 99.00
